id,description
TA0043,Reconnaissance
T1595,Active Scanning
T1595.001,Scanning IP Blocks
T1595.002,Vulnerability Scanning
T1595.003,Wordlist Scanning
T1592,Gather Victim Host Information
T1592.001,Hardware
T1592.002,Software
T1592.003,Firmware
T1592.004,Client Configurations
T1589,Gather Victim Identity Information
T1589.001,Credentials
T1589.002,Email Addresses
T1589.003,Employee Names
T1590,Gather Victim Network Information
T1590.001,Domain Properties
T1590.002,DNS
T1590.003,Network Trust Dependencies
T1590.004,Network Topology
T1590.005,IP Addresses
T1590.006,Network Security Appliances
T1591,Gather Victim Org Information
T1591.001,Determine Physical Locations
T1591.002,Business Relationships
T1591.003,Identify Business Tempo
T1591.004,Identify Roles
T1598,Phishing for Information
T1598.001,Spearphishing Service
T1598.002,Spearphishing Attachment
T1598.003,Spearphishing Link
T1597,Search Closed Sources
T1597.001,Threat Intel Vendors
T1597.002,Purchase Technical Data
T1596,Search Open Technical Databases
T1596.001,DNS/Passive DNS
T1596.002,WHOIS
T1596.003,Digital Certificates
T1596.004,CDNs
T1596.005,Scan Databases
T1593,Search Open Websites/Domains
T1593.001,Social Media
T1593.002,Search Engines
T1593.003,Code Repositories
T1594,Search Victim-Owned Websites
TA0042,Resource Development
T1583,Acquire Infrastructure
T1583.001,Domains
T1583.002,DNS Server
T1583.003,Virtual Private Server
T1583.004,Server
T1583.005,Botnet
T1583.006,Web Services
T1583.007,Serverless
T1586,Compromise Accounts
T1586.001,Social Media Accounts
T1586.002,Email Accounts
T1586.003,Cloud Accounts
T1584,Compromise Infrastructure
T1584.001,Domains
T1584.002,DNS Server
T1584.003,Virtual Private Server
T1584.004,Server
T1584.005,Botnet
T1584.006,Web Services
T1584.007,Serverless
T1587,Develop Capabilities
T1587.001,Malware
T1587.002,Code Signing Certificates
T1587.003,Digital Certificates
T1587.004,Exploits
T1585,Establish Accounts
T1585.001,Social Media Accounts
T1585.002,Email Accounts
T1585.003,Cloud Accounts
T1588,Obtain Capabilities
T1588.001,Malware
T1588.002,Tool
T1588.003,Code Signing Certificates
T1588.004,Digital Certificates
T1588.005,Exploits
T1588.006,Vulnerabilities
T1608,Stage Capabilities
T1608.001,Upload Malware
T1608.002,Upload Tool
T1608.003,Install Digital Certificate
T1608.004,Drive-by Target
T1608.005,Link Target
T1608.006,SEO Poisoning
TA0001,Initial Access
T1189,Drive-by Compromise
T1190,Exploit Public-Facing Application
T1133,External Remote Services
T1200,Hardware Additions
T1566,Phishing
T1566.001,Spearphishing Attachment
T1566.002,Spearphishing Link
T1566.003,Spearphishing via Service
T1091,Replication Through Removable Media
T1195,Supply Chain Compromise
T1195.001,Compromise Software Dependencies and Development Tools
T1195.002,Compromise Software Supply Chain
T1195.003,Compromise Hardware Supply Chain
T1199,Trusted Relationship
T1078,Valid Accounts
T1078.001,Default Accounts
T1078.002,Domain Accounts
T1078.003,Local Accounts
T1078.004,Cloud Accounts
TA0002,Execution
T1059,Command and Scripting Interpreter
T1059.001,PowerShell
T1059.002,AppleScript
T1059.003,Windows Command Shell
T1059.004,Unix Shell
T1059.005,Visual Basic
T1059.006,Python
T1059.007,JavaScript
T1059.008,Network Device CLI
T1609,Container Administration Command
T1610,Deploy Container
T1203,Exploitation for Client Execution
T1559,Inter-Process Communication
T1559.001,Component Object Model
T1559.002,Dynamic Data Exchange
T1559.003,XPC Services
T1106,Native API
T1053,Scheduled Task/Job
T1053.002,At
T1053.003,Cron
T1053.004,Launchd
T1053.005,Scheduled Task
T1053.006,Systemd Timers
T1053.007,Container Orchestration Job
T1648,Serverless Execution
T1129,Shared Modules
T1072,Software Deployment Tools
T1569,System Services
T1569.001,Launchctl
T1569.002,Service Execution
T1204,User Execution
T1204.001,Malicious Link
T1204.002,Malicious File
T1204.003,Malicious Image
T1047,Windows Management Instrumentation
TA0003,Persistence
T1098,Account Manipulation
T1098.001,Additional Cloud Credentials
T1098.002,Additional Email Delegate Permissions
T1098.003,Additional Cloud Roles
T1098.004,SSH Authorized Keys
T1098.005,Device Registration
T1197,BITS Jobs
T1547,Boot or Logon Autostart Execution
T1547.001,Registry Run Keys / Startup Folder
T1547.002,Authentication Package
T1547.003,Time Providers
T1547.004,Winlogon Helper DLL
T1547.005,Security Support Provider
T1547.006,Kernel Modules and Extensions
T1547.007,Re-opened Applications
T1547.008,LSASS Driver
T1547.009,Shortcut Modification
T1547.010,Port Monitors
T1547.012,Print Processors
T1547.013,XDG Autostart Entries
T1547.014,Active Setup
T1547.015,Login Items
T1037,Boot or Logon Initialization Scripts
T1037.001,Logon Script (Windows)
T1037.002,Login Hook
T1037.003,Network Logon Script
T1037.004,RC Scripts
T1037.005,Startup Items
T1176,Browser Extensions
T1554,Compromise Client Software Binary
T1136,Create Account
T1136.001,Local Account
T1136.002,Domain Account
T1136.003,Cloud Account
T1543,Create or Modify System Process
T1543.001,Launch Agent
T1543.002,Systemd Service
T1543.003,Windows Service
T1543.004,Launch Daemon
T1546,Event Triggered Execution
T1546.001,Change Default File Association
T1546.002,Screensaver
T1546.003,Windows Management Instrumentation Event Subscription
T1546.004,Unix Shell Configuration Modification
